Gene,log2FoldChange,padj,chr,start,end
Slc40a1,1.5039760616952,1.29052906403836e-05,chr1,45908070,45925594
Ngef,1.5039760616952,1.29052906403836e-05,chr1,87476829,87573870
Irf6,1.5039760616952,1.29052906403836e-05,chr1,193153112,193172036
Icos,1.5039760616952,1.29052906403836e-05,chr1,60977914,61000320
Rassf5,1.5039760616952,1.29052906403836e-05,chr1,131176410,131245178
Smarcal1,1.5039760616952,1.29052906403836e-05,chr1,72583251,72636790
Fmn2,1.5039760616952,1.29052906403836e-05,chr1,174501825,174822729
Tbc1d8,2.45395953123989,9.95966808640952e-09,chr1,39371495,39478747
Hes6,1.5039760616952,1.29052906403836e-05,chr1,91411483,91413222
Eef1b2,1.5039760616952,1.29052906403836e-05,chr1,63176831,63180486
Nop58,1.5039760616952,1.29052906403836e-05,chr1,59685006,59711510
Fmo2,1.5039760616952,1.29052906403836e-05,chr1,162875047,162898712
Alyref2,1.5039760616952,1.29052906403836e-05,chr1,171503478,171504750
Tmem131,1.5039760616952,1.29052906403836e-05,chr1,36792189,36939527
Uchl5,1.5039760616952,1.29052906403836e-05,chr1,143777278,143807466
Rev1,1.5039760616952,1.29052906403836e-05,chr1,38052786,38129662
Tmeff2,1.5039760616952,1.29052906403836e-05,chr1,50927523,51187270
Dpt,1.5039760616952,1.29052906403836e-05,chr1,164796732,164824266
Ikbke,1.5039760616952,1.29052906403836e-05,chr1,131254602,131279563
Pnkd,1.5039760616952,1.29052906403836e-05,chr1,74285034,74353692
Aldh9a1,1.5039760616952,1.29052906403836e-05,chr1,167349991,167368530
Dnajb2,1.5039760616952,1.29052906403836e-05,chr1,75236423,75245692
Jph1,1.5039760616952,1.29052906403836e-05,chr1,16994938,17097889
B4galt3,1.5039760616952,1.29052906403836e-05,chr1,171270328,171276895
Tmem183a,1.5039760616952,1.29052906403836e-05,chr1,134346097,134361999
Wdr12,1.5039760616952,1.29052906403836e-05,chr1,60076868,60098500
Rnf25,1.5039760616952,1.29052906403836e-05,chr1,74593752,74601397
Kcne4,1.5039760616952,1.29052906403836e-05,chr1,78816949,78820025
Rgs20,1.5039760616952,1.29052906403836e-05,chr1,4909576,5070285
Il20,1.5039760616952,1.29052906403836e-05,chr1,130907192,130911296
Cnot9,1.02843633739235,0.00720115295094195,chr1,74506060,74530842
Stx6,1.5039760616952,1.29052906403836e-05,chr1,155158703,155203517
Rrs1,1.5039760616952,1.29052906403836e-05,chr1,9545408,9547455
Stk25,1.5039760616952,1.29052906403836e-05,chr1,93620751,93635727
Nek7,1.5039760616952,1.29052906403836e-05,chr1,138484714,138619696
Ncstn,2.45395953123989,9.95966808640952e-09,chr1,172066013,172082749
Gpa33,1.5039760616952,1.29052906403836e-05,chr1,166130460,166166510
Niban1,1.5039760616952,1.29052906403836e-05,chr1,151571373,151719347
Dusp10,1.5039760616952,1.29052906403836e-05,chr1,184034461,184075636
Gpr35,1.5039760616952,1.29052906403836e-05,chr1,92973119,92986391
Ralb,1.5039760616952,1.29052906403836e-05,chr1,119470305,119504782
Rgs18,1.5039760616952,1.29052906403836e-05,chr1,144752841,144775421
Itm2c,0.510574939780981,0.182114228951756,chr1,85894510,85908698
Fcamr,1.5039760616952,1.29052906403836e-05,chr1,130800902,130814740
Mrps14,1.5039760616952,1.29052906403836e-05,chr1,160195260,160201186
Nif3l1,1.5039760616952,1.29052906403836e-05,chr1,58447634,58462276
Asb1,0.510574939780981,0.182114228951756,chr1,91540565,91559590
Sdhc,1.5039760616952,1.29052906403836e-05,chr1,171129157,171150603
Mtarc1,1.5039760616952,1.29052906403836e-05,chr1,184786767,184811313
Fbxo36,1.5039760616952,1.29052906403836e-05,chr1,84839841,84900486
Ufc1,1.5039760616952,1.29052906403836e-05,chr1,171288564,171294982
Nenf,1.5039760616952,1.29052906403836e-05,chr1,191306797,191318118
Tmem9,1.5039760616952,1.29052906403836e-05,chr1,136008219,136035030
Tm4sf20,1.5039760616952,1.29052906403836e-05,chr1,82756649,82768456
Ing5,1.5039760616952,1.29052906403836e-05,chr1,93803965,93822101
Mptx1,1.5039760616952,1.29052906403836e-05,chr1,174330518,174332877
Pantr1,1.5039760616952,1.29052906403836e-05,chr1,42648200,42694825
Tmem177,1.5039760616952,1.29052906403836e-05,chr1,119907890,119913168
Blzf1,1.5039760616952,1.29052906403836e-05,chr1,164289800,164307484
Cox20,1.5039760616952,1.29052906403836e-05,chr1,178319153,178322693
Ppp1r7,1.5039760616952,1.29052906403836e-05,chr1,93343645,93367618
Pcp4l1,1.5039760616952,1.29052906403836e-05,chr1,171173264,171196268
Mgst3,1.5039760616952,1.29052906403836e-05,chr1,167372384,167393797
Ndufb3,1.5039760616952,1.29052906403836e-05,chr1,58586599,58595948
Atg4b,1.5039760616952,1.29052906403836e-05,chr1,93755033,93789529
Tsen15,1.5039760616952,1.29052906403836e-05,chr1,152370735,152386682
Rpe,1.5039760616952,1.29052906403836e-05,chr1,66700893,66719805
Spag16,1.5039760616952,1.29052906403836e-05,chr1,69826988,70725132
Ppp1r14bl,1.5039760616952,1.29052906403836e-05,chr1,23100473,23102253
Ube2w,1.5039760616952,1.29052906403836e-05,chr1,16569406,16619286
Bcs1l,1.5039760616952,1.29052906403836e-05,chr1,74588361,74592443
Swt1,1.5039760616952,1.29052906403836e-05,chr1,151367699,151428435
Bzw1,1.5039760616952,1.29052906403836e-05,chr1,58393136,58406548
Cops9,1.5039760616952,1.29052906403836e-05,chr1,92637145,92641985
Ddx18,1.5039760616952,1.29052906403836e-05,chr1,121553835,121567980
Pacc1,1.5039760616952,1.29052906403836e-05,chr1,191325965,191352925
Serpinb11,1.5039760616952,1.29052906403836e-05,chr1,107362314,107380475
Edem3,1.5039760616952,1.29052906403836e-05,chr1,151755374,151822328
Nuf2,1.5039760616952,1.29052906403836e-05,chr1,169497934,169531464
Thap4,1.5039760616952,1.29052906403836e-05,chr1,93705391,93754838
1700019D03Rik,1.5039760616952,1.29052906403836e-05,chr1,52925127,52952840
1700020N18Rik,1.5039760616952,1.29052906403836e-05,chr1,91404879,91406029
Mettl21a,1.5039760616952,1.29052906403836e-05,chr1,64606480,64617168
Ube2t,1.5039760616952,1.29052906403836e-05,chr1,134962577,134974137
Spats2l,1.5039760616952,1.29052906403836e-05,chr1,57774861,57948397
Rrp15,1.5039760616952,1.29052906403836e-05,chr1,186721086,186749358
Mtarc2,2.45395953123989,9.95966808640952e-09,chr1,184813068,184845847
Ndufa10,1.5039760616952,1.29052906403836e-05,chr1,92439708,92473758
Pigc,1.5039760616952,1.29052906403836e-05,chr1,161969188,161973435
3110045C21Rik,1.5039760616952,1.29052906403836e-05,chr1,169969409,169972396
Inava,1.5039760616952,1.29052906403836e-05,chr1,136213522,136234280
1700047M11Rik,1.5039760616952,1.29052906403836e-05,chr1,182300834,182303289
Unc50,1.5039760616952,1.29052906403836e-05,chr1,37430172,37439124
Coq8a,1.5039760616952,1.29052906403836e-05,chr1,180165238,180196020
Ilkap,0.510574939780981,0.182114228951756,chr1,91375831,91398783
Dusp28,1.5039760616952,1.29052906403836e-05,chr1,92906989,92908620
Nvl,1.5039760616952,1.29052906403836e-05,chr1,181093423,181144157
1700001G17Rik,1.5039760616952,1.29052906403836e-05,chr1,33669824,33670712
Ttll4,1.5039760616952,1.29052906403836e-05,chr1,74661754,74697973
Pigm,1.02843633739235,0.00720115295094195,chr1,172376531,172384099
4930523C07Rik,0.897418715802976,0.00391503682141779,chr1,160044380,160078587
Fam174a,1.5039760616952,1.29052906403836e-05,chr1,95313628,95335284
Rnf149,1.5039760616952,1.29052906403836e-05,chr1,39551296,39577347
Gpatch2,1.5039760616952,1.29052906403836e-05,chr1,187215511,187351445
Arpc5,1.5039760616952,1.29052906403836e-05,chr1,152766542,152775580
Rgs8,1.5039760616952,1.29052906403836e-05,chr1,153653037,153697665
Ubxn4,1.5039760616952,1.29052906403836e-05,chr1,128244181,128279377
Slco6b1,1.5039760616952,1.29052906403836e-05,chr1,96906176,96997560
Coq10b,0.897418715802976,0.00391503682141779,chr1,55052770,55072702
Uxs1,1.5039760616952,1.29052906403836e-05,chr1,43750231,43827708
Camsap2,1.5039760616952,1.29052906403836e-05,chr1,136268123,136346104
Ube2f,0.510574939780981,0.182114228951756,chr1,91250319,91286025
Eloc,1.5039760616952,1.29052906403836e-05,chr1,16642765,16656865
Fbxo28,1.5039760616952,1.29052906403836e-05,chr1,182313102,182341606
Nifk,1.5039760616952,1.29052906403836e-05,chr1,118321843,118333831
Ddx59,1.5039760616952,1.29052906403836e-05,chr1,136415271,136440220
Sdhaf4,1.5039760616952,1.29052906403836e-05,chr1,23995939,24005640
Maip1,1.5039760616952,1.29052906403836e-05,chr1,57406548,57415958
Fam135a,1.5039760616952,1.29052906403836e-05,chr1,24010758,24100341
2900060B14Rik,1.5039760616952,1.29052906403836e-05,chr1,118458669,118459265
Efcab2,1.5039760616952,1.29052906403836e-05,chr1,178405881,178483250
Golt1a,1.5039760616952,1.29052906403836e-05,chr1,133309823,133323026
Mogat1,1.5039760616952,1.29052906403836e-05,chr1,78511060,78538173
Lmbrd1,1.5039760616952,1.29052906403836e-05,chr1,24678544,24766301
Steap3,1.5039760616952,1.29052906403836e-05,chr1,120226416,120271082
Dusp23,1.5039760616952,1.29052906403836e-05,chr1,172630769,172632974
Mpzl1,0.510574939780981,0.182114228951756,chr1,165592181,165634541
Ppfia4,1.5039760616952,1.29052906403836e-05,chr1,134296783,134332928
Sgo2a,1.5039760616952,1.29052906403836e-05,chr1,57985340,58026277
Kansl1l,1.5039760616952,1.29052906403836e-05,chr1,66719243,66817595
Arl8a,1.5039760616952,1.29052906403836e-05,chr1,135146834,135156268
Tyw5,1.5039760616952,1.29052906403836e-05,chr1,57388244,57406674
Zfand2b,1.5039760616952,1.29052906403836e-05,chr1,75168646,75171626
Pdcl3,1.5039760616952,1.29052906403836e-05,chr1,38987814,38997236
Klhdc9,1.5039760616952,1.29052906403836e-05,chr1,171358449,171360798
Tmcc2,1.5039760616952,1.29052906403836e-05,chr1,132356315,132391281
Disp1,1.5039760616952,1.29052906403836e-05,chr1,183086264,183221529
Tmco1,1.5039760616952,1.29052906403836e-05,chr1,167308670,167333978
Tatdn3,1.02843633739235,0.00720115295094195,chr1,191045826,191062932
Mitd1,1.5039760616952,1.29052906403836e-05,chr1,37878890,37890411
1810006J02Rik,1.5039760616952,1.29052906403836e-05,chr1,98131467,98144655
Pycr2,1.5039760616952,1.29052906403836e-05,chr1,180904274,180908088
Gmppa,1.5039760616952,1.29052906403836e-05,chr1,75435943,75443176
Mrpl44,1.5039760616952,1.29052906403836e-05,chr1,79776018,79781445
Fcmr,1.5039760616952,1.29052906403836e-05,chr1,130865777,130880790
Cnppd1,1.5039760616952,1.29052906403836e-05,chr1,75135215,75142368
1700007P06Rik,1.5039760616952,1.29052906403836e-05,chr1,187125138,187127852
Ppp1r42,1.5039760616952,1.29052906403836e-05,chr1,9968624,10009130
Glrx2,1.5039760616952,1.29052906403836e-05,chr1,143739349,143749678
Wdfy1,1.5039760616952,1.29052906403836e-05,chr1,79702262,79761769
1700019A02Rik,1.5039760616952,1.29052906403836e-05,chr1,53158577,53187617
1700025G04Rik,-0.080986439025958,0.779203203705514,chr1,151884524,152090320
1700016C15Rik,1.5039760616952,1.29052906403836e-05,chr1,177729814,177753305
1700027A15Rik,1.5039760616952,1.29052906403836e-05,chr1,73016036,73025508
Prss56,1.5039760616952,1.29052906403836e-05,chr1,87183493,87188404
1700029M03Rik,1.5039760616952,1.29052906403836e-05,chr1,164960923,164961402
Mrps9,1.5039760616952,1.29052906403836e-05,chr1,42851233,42905683
Lyg1,1.5039760616952,1.29052906403836e-05,chr1,37946738,37957759
2310009B15Rik,1.5039760616952,1.29052906403836e-05,chr1,138851979,138856854
Tmbim1,1.5039760616952,1.29052906403836e-05,chr1,74288247,74304336
Ccdc115,1.5039760616952,1.29052906403836e-05,chr1,34436670,34439672
Smyd3,1.5039760616952,1.29052906403836e-05,chr1,178955031,179518003
Mterf4,1.5039760616952,1.29052906403836e-05,chr1,93299211,93305870
2810408I11Rik,1.5039760616952,1.29052906403836e-05,chr1,64679869,64690659
2810025M15Rik,1.5039760616952,1.29052906403836e-05,chr1,157412352,157420236
Mettl18,1.5039760616952,1.29052906403836e-05,chr1,163994945,163997243
Spata3,1.5039760616952,1.29052906403836e-05,chr1,86021942,86029958
Ogfrl1,1.5039760616952,1.29052906403836e-05,chr1,23366424,23383175
Ppil3,1.5039760616952,1.29052906403836e-05,chr1,58430993,58445486
Psmd1,1.5039760616952,1.29052906403836e-05,chr1,86064619,86139295
Ica1l,1.5039760616952,1.29052906403836e-05,chr1,59989068,60043087
Asnsd1,1.5039760616952,1.29052906403836e-05,chr1,53344644,53352699
Tmem70,1.5039760616952,1.29052906403836e-05,chr1,16665191,16678275
Cenpl,1.5039760616952,1.29052906403836e-05,chr1,161070892,161086343
Mpc2,1.5039760616952,1.29052906403836e-05,chr1,165461208,165481214
Zc3h11a,0.510574939780981,0.182114228951756,chr1,133619871,133661380
Zc3h11a,0.510574939780981,0.182114228951756,chr1,133619871,133661380
Vcpip1,1.5039760616952,1.29052906403836e-05,chr1,9723192,9748382
Gulp1,1.5039760616952,1.29052906403836e-05,chr1,44551671,44796836
Nos1ap,1.5039760616952,1.29052906403836e-05,chr1,170317496,170589849
Kdsr,1.5039760616952,1.29052906403836e-05,chr1,106720410,106759742
Klhl30,1.5039760616952,1.29052906403836e-05,chr1,91351073,91362404
Trak2,1.5039760616952,1.29052906403836e-05,chr1,58900450,58973482
Ccdc93,1.02843633739235,0.00720115295094195,chr1,121431067,121506460
Vwa3b,1.5039760616952,1.29052906403836e-05,chr1,37029304,37187277
Akr1cl,1.5039760616952,1.29052906403836e-05,chr1,65013086,65032748
Slco6d1,1.5039760616952,1.29052906403836e-05,chr1,98421124,98509380
4931428L18Rik,1.5039760616952,1.29052906403836e-05,chr1,31141078,31222656
Mgat4e,1.5039760616952,1.29052906403836e-05,chr1,134540945,134547022
Hsfy2,1.5039760616952,1.29052906403836e-05,chr1,56636044,56637451
Sntg1,1.5039760616952,1.29052906403836e-05,chr1,8362661,9299730
Gpr39,1.5039760616952,1.29052906403836e-05,chr1,125676996,125873862
4933417E11Rik,1.5039760616952,1.29052906403836e-05,chr1,71958998,72005195
4933424G06Rik,1.5039760616952,1.29052906403836e-05,chr1,36714538,36757960
4933436E23Rik,1.5039760616952,1.29052906403836e-05,chr1,139379452,139402852
Daw1,1.5039760616952,1.29052906403836e-05,chr1,83159762,83210574
Apobec4,1.5039760616952,1.29052906403836e-05,chr1,152750551,152757544
4933439K11Rik,1.5039760616952,1.29052906403836e-05,chr1,172541620,172550806
Krtap28-13,1.5039760616952,1.29052906403836e-05,chr1,83060930,83061921
Eef1aknmt,1.5039760616952,1.29052906403836e-05,chr1,162533671,162548345
Pogk,1.5039760616952,1.29052906403836e-05,chr1,166393610,166409828
Brox,1.5039760616952,1.29052906403836e-05,chr1,183276342,183297008
Aox3,1.5039760616952,1.29052906403836e-05,chr1,58113136,58200452
Stk11ip,1.5039760616952,1.29052906403836e-05,chr1,75521529,75537335
Nectin4,1.5039760616952,1.29052906403836e-05,chr1,171370173,171388287
Slc16a14,1.5039760616952,1.29052906403836e-05,chr1,84906705,84935083
Shcbp1l,1.5039760616952,1.29052906403836e-05,chr1,153425209,153452574
Tex44,1.5039760616952,1.29052906403836e-05,chr1,86426329,86428049
Serpinb12,1.5039760616952,1.29052906403836e-05,chr1,106934449,106957080
Cfap45,1.5039760616952,1.29052906403836e-05,chr1,172521130,172545870
Aox4,1.5039760616952,1.29052906403836e-05,chr1,58210397,58268597
Mab21l4,1.5039760616952,1.29052906403836e-05,chr1,93151355,93160948
Efhc1,1.5039760616952,1.29052906403836e-05,chr1,20951626,20990841
Chit1,1.5039760616952,1.29052906403836e-05,chr1,134111242,134151436
Cyb5r1,1.5039760616952,1.29052906403836e-05,chr1,134405990,134411738
1600012P17Rik,1.5039760616952,1.29052906403836e-05,chr1,158967701,158980463
Poglut2,1.5039760616952,1.29052906403836e-05,chr1,44106546,44118773
Osgepl1,1.5039760616952,1.29052906403836e-05,chr1,53313663,53324064
Cracdl,1.5039760616952,1.29052906403836e-05,chr1,37611676,37719811
Tmem163,1.5039760616952,1.29052906403836e-05,chr1,127490342,127678021
1700016L21Rik,1.5039760616952,1.29052906403836e-05,chr1,80445932,80475660
Tram1,1.5039760616952,1.29052906403836e-05,chr1,13564702,13589864
2610203C22Rik,1.5039760616952,1.29052906403836e-05,chr1,9560832,9631092
Acbd6,1.5039760616952,1.29052906403836e-05,chr1,155558120,155687233
Lin9,1.5039760616952,1.29052906403836e-05,chr1,180641334,180690687
Lypd1,1.5039760616952,1.29052906403836e-05,chr1,125872039,125912214
Adipor1,1.95468930886551,1.29052906403836e-05,chr1,134415467,134432341
Angptl1,1.5039760616952,1.29052906403836e-05,chr1,156839023,156861078
Fam117b,1.5039760616952,1.29052906403836e-05,chr1,59913006,59985346
2810442N19Rik,1.5039760616952,1.29052906403836e-05,chr1,162004969,162016485
2810459M11Rik,1.5039760616952,1.29052906403836e-05,chr1,86045863,86055456
Pard3b,1.5039760616952,1.29052906403836e-05,chr1,61638824,62642284
Ccnt2,1.5039760616952,1.29052906403836e-05,chr1,127774164,127804837
Cnih3,1.5039760616952,1.29052906403836e-05,chr1,181352628,181460641
Insig2,1.5039760616952,1.29052906403836e-05,chr1,121304353,121332580
3110009E18Rik,1.5039760616952,1.29052906403836e-05,chr1,120121187,120188189
Tgfbrap1,1.5039760616952,1.29052906403836e-05,chr1,43047269,43098622
3110040M04Rik,1.5039760616952,1.29052906403836e-05,chr1,151204121,151205794
Snorc,1.5039760616952,1.29052906403836e-05,chr1,87470264,87475459
1700056E22Rik,1.5039760616952,1.29052906403836e-05,chr1,184033032,184033998
1700066B17Rik,1.5039760616952,1.29052906403836e-05,chr1,39842428,39847330
Tex35,1.5039760616952,1.29052906403836e-05,chr1,157099148,157108645
1700063A18Rik,1.5039760616952,1.29052906403836e-05,chr1,95990659,96021758
C2cd6,1.5039760616952,1.29052906403836e-05,chr1,59050506,59094900
1700066M21Rik,1.5039760616952,1.29052906403836e-05,chr1,57377620,57385423
1700067G17Rik,1.5039760616952,1.29052906403836e-05,chr1,89016113,89022210
1700112H15Rik,1.5039760616952,1.29052906403836e-05,chr1,184527841,184557691
Wdr75,1.5039760616952,1.29052906403836e-05,chr1,45795501,45823613
Ankrd45,1.5039760616952,1.29052906403836e-05,chr1,161142712,161170507
Zdbf2,1.5039760616952,1.29052906403836e-05,chr1,63273269,63314575
Rftn2,1.5039760616952,1.29052906403836e-05,chr1,55170159,55226782
Als2,0.510574939780981,0.182114228951756,chr1,59162756,59237231
Traf3ip1,1.5039760616952,1.29052906403836e-05,chr1,91494668,91529307
Rd3,1.5039760616952,1.29052906403836e-05,chr1,191977373,191988282
Cep350,1.5039760616952,1.29052906403836e-05,chr1,155844964,155973255
Npl,1.5039760616952,1.29052906403836e-05,chr1,153503016,153549714
Abcb6,1.5039760616952,1.29052906403836e-05,chr1,75171640,75180283
Dcaf6,1.5039760616952,1.29052906403836e-05,chr1,165329500,165460463
Actr3,1.5039760616952,1.29052906403836e-05,chr1,125392905,125435727
Nuak2,1.5039760616952,1.29052906403836e-05,chr1,132316125,132333488
Slc35f5,1.5039760616952,1.29052906403836e-05,chr1,125561016,125595684
Acsl3,1.5039760616952,1.29052906403836e-05,chr1,78657825,78707743
Paqr8,1.5039760616952,1.29052906403836e-05,chr1,20890622,20938756
Chpf,1.02843633739235,0.00720115295094195,chr1,75474569,75479471
4933402D24Rik,1.5039760616952,1.29052906403836e-05,chr1,63754909,63769267
Slco6c1,1.5039760616952,1.29052906403836e-05,chr1,97059449,97128303
Glb1l,1.5039760616952,1.29052906403836e-05,chr1,75198235,75210778
Abca12,1.5039760616952,1.29052906403836e-05,chr1,71243090,71414910
Tmem81,1.5039760616952,1.29052906403836e-05,chr1,132506230,132508639
4930440C22Rik,1.5039760616952,1.29052906403836e-05,chr1,94797442,94802472
Dnaaf6,1.5039760616952,1.29052906403836e-05,chr1,31222839,31224287
Spata17,1.5039760616952,1.29052906403836e-05,chr1,187048407,187215446
Slamf8,1.5039760616952,1.29052906403836e-05,chr1,172581377,172590568
Ccdc181,1.5039760616952,1.29052906403836e-05,chr1,164275598,164287847
4930448I06Rik,1.5039760616952,1.29052906403836e-05,chr1,41167560,41181252
Iqca,1.5039760616952,1.29052906403836e-05,chr1,90042132,90153401
4930503O07Rik,1.5039760616952,1.29052906403836e-05,chr1,194212187,194222759
4930488B22Rik,1.5039760616952,1.29052906403836e-05,chr1,184712497,184718989
4930486I03Rik,1.5039760616952,1.29052906403836e-05,chr1,20356454,20392300
4930521E06Rik,1.5039760616952,1.29052906403836e-05,chr1,44739675,44744949
4930533P14Rik,1.5039760616952,1.29052906403836e-05,chr1,96612057,96662573
4930562F07Rik,1.5039760616952,1.29052906403836e-05,chr1,160074735,160077985
4930558J18Rik,1.5039760616952,1.29052906403836e-05,chr1,57359222,57377544
Slamf7,1.5039760616952,1.29052906403836e-05,chr1,171632403,171653037
4930558K02Rik,1.5039760616952,1.29052906403836e-05,chr1,161942089,161979636
4930598F16Rik,1.5039760616952,1.29052906403836e-05,chr1,95701184,95716518
Boll,1.5039760616952,1.29052906403836e-05,chr1,55300069,55363469
Spp2,1.5039760616952,1.29052906403836e-05,chr1,88407019,88426438
Cfap126,1.5039760616952,1.29052906403836e-05,chr1,171121661,171126967
1700019P21Rik,1.5039760616952,1.29052906403836e-05,chr1,138876272,138876950
Spata45,1.5039760616952,1.29052906403836e-05,chr1,191036822,191042941
Nhej1,1.5039760616952,1.29052906403836e-05,chr1,74967346,75046653
2310030A07Rik,1.5039760616952,1.29052906403836e-05,chr1,150320681,150346771
2310043L19Rik,1.5039760616952,1.29052906403836e-05,chr1,177641542,177642943
Kdm5b,1.5039760616952,1.29052906403836e-05,chr1,134560178,134632878
Fastkd2,1.5039760616952,1.29052906403836e-05,chr1,63730625,63753385
Tex30,1.5039760616952,1.29052906403836e-05,chr1,44086617,44102388
Tmem14a,1.5039760616952,1.29052906403836e-05,chr1,21218631,21230167
Mff,1.5039760616952,1.29052906403836e-05,chr1,82724918,82752390
4930444P10Rik,1.5039760616952,1.29052906403836e-05,chr1,16065979,16093041
Wdr64,1.5039760616952,1.29052906403836e-05,chr1,175698593,175815734
4930568G15Rik,1.5039760616952,1.29052906403836e-05,chr1,165066617,165091930
4930590L20Rik,1.5039760616952,1.29052906403836e-05,chr1,140570176,140656402
Coa5,1.5039760616952,1.29052906403836e-05,chr1,37417085,37430103
Adhfe1,1.5039760616952,1.29052906403836e-05,chr1,9548046,9577968
Mroh3,1.5039760616952,1.29052906403836e-05,chr1,136181652,136211376
Mdh1b,1.5039760616952,1.29052906403836e-05,chr1,63698827,63730318
Clasp1,0.510574939780981,0.182114228951756,chr1,118389058,118609462
Arpc2,1.5039760616952,1.29052906403836e-05,chr1,74236550,74268213
Alpi,1.5039760616952,1.29052906403836e-05,chr1,87098002,87101606
Sdccag8,1.5039760616952,1.29052906403836e-05,chr1,176814812,177020432
Dtl,1.5039760616952,1.29052906403836e-05,chr1,191537365,191575534
Rhbdd1,1.5039760616952,1.29052906403836e-05,chr1,82316579,82445366
Spata46,1.5039760616952,1.29052906403836e-05,chr1,170308861,170312125
Vxn,1.5039760616952,1.29052906403836e-05,chr1,9601267,9627142
Atg16l1,1.5039760616952,1.29052906403836e-05,chr1,87756011,87792428
Ints7,1.5039760616952,1.29052906403836e-05,chr1,191575734,191621691
Zfp142,1.5039760616952,1.29052906403836e-05,chr1,74565128,74588028
Raph1,1.5039760616952,1.29052906403836e-05,chr1,60483185,60566765
C030007H22Rik,1.5039760616952,1.29052906403836e-05,chr1,89360342,89406133
9530026F06Rik,1.5039760616952,1.29052906403836e-05,chr1,61378432,61395904
Axdnd1,1.5039760616952,1.29052906403836e-05,chr1,156330643,156420908
Shisa4,1.5039760616952,1.29052906403836e-05,chr1,135371456,135375063
Sphkap,1.5039760616952,1.29052906403836e-05,chr1,83255781,83408200
4930594C11Rik,1.5039760616952,1.29052906403836e-05,chr1,37485851,37488605
Defb41,1.5039760616952,1.29052906403836e-05,chr1,18250978,18265138
6720483E21Rik,1.5039760616952,1.29052906403836e-05,chr1,20888650,20890473
Cyp20a1,1.5039760616952,1.29052906403836e-05,chr1,60343372,60387387
Ccdc150,1.5039760616952,1.29052906403836e-05,chr1,54250683,54368727
Crisp4,1.5039760616952,1.29052906403836e-05,chr1,18115191,18137051
4930452N14Rik,1.5039760616952,1.29052906403836e-05,chr1,154241521,154256906
Ralgps2,1.5039760616952,1.29052906403836e-05,chr1,156804166,156939626
Mroh9,1.5039760616952,1.29052906403836e-05,chr1,163024302,163085670
Ankrd23,1.5039760616952,1.29052906403836e-05,chr1,36530534,36535729
Ccdc190,1.5039760616952,1.29052906403836e-05,chr1,169928939,169934653
B230216N24Rik,1.5039760616952,1.29052906403836e-05,chr1,98031123,98047793
Platr5,1.5039760616952,1.29052906403836e-05,chr1,88754890,88755733
D530049I02Rik,1.5039760616952,1.29052906403836e-05,chr1,73398968,73430779
Hhipl2,2.45395953123989,9.95966808640952e-09,chr1,183418503,183437053
Armc9,1.5039760616952,1.29052906403836e-05,chr1,86154780,86278284
Desi2,1.5039760616952,1.29052906403836e-05,chr1,178187417,178252598
Ecrg4,1.5039760616952,1.29052906403836e-05,chr1,43730602,43742564
Slc19a3,1.5039760616952,1.29052906403836e-05,chr1,83012523,83038448
Snord82,1.5039760616952,1.29052906403836e-05,chr1,86356260,86356327
Uck2,1.5039760616952,1.29052906403836e-05,chr1,167226083,167285127
Dusp12,1.5039760616952,1.29052906403836e-05,chr1,170874188,170885540
Tfcp2l1,1.5039760616952,1.29052906403836e-05,chr1,118627945,118685168
Sf3b1,1.5039760616952,1.29052906403836e-05,chr1,54985169,55027478
Crispld1,1.5039760616952,1.29052906403836e-05,chr1,17727417,17766207
Tbx19,1.5039760616952,1.29052906403836e-05,chr1,165137853,165160773
Sec16b,2.45395953123989,9.95966808640952e-09,chr1,157506796,157568425
Il24,1.5039760616952,1.29052906403836e-05,chr1,130882074,130887411
Lmod1,1.5039760616952,1.29052906403836e-05,chr1,135324813,135368065
Gpr45,1.5039760616952,1.29052906403836e-05,chr1,42952872,43035449
Klf7,1.5039760616952,1.29052906403836e-05,chr1,64035663,64121389
Vangl2,1.5039760616952,1.29052906403836e-05,chr1,172004371,172027268
Igsf9,1.5039760616952,1.29052906403836e-05,chr1,172482213,172498877
Cnnm3,1.5039760616952,1.29052906403836e-05,chr1,36511876,36528237
Cnnm4,1.5039760616952,1.29052906403836e-05,chr1,36471597,36508776
Pi15,1.5039760616952,1.29052906403836e-05,chr1,17601901,17630939
Ugt1a6a,1.5039760616952,1.29052906403836e-05,chr1,88134809,88220002
Cadm3,1.5039760616952,1.29052906403836e-05,chr1,173334254,173367695
Prg4,1.5039760616952,1.29052906403836e-05,chr1,150449412,150466165
Susd4,1.5039760616952,1.29052906403836e-05,chr1,182764906,182895654
Dcaf8,1.5039760616952,1.29052906403836e-05,chr1,172148015,172196393
Kmo,1.5039760616952,1.29052906403836e-05,chr1,175632193,175660853
Txndc9,1.5039760616952,1.29052906403836e-05,chr1,37983867,37997208
Stk17b,1.5039760616952,1.29052906403836e-05,chr1,53755512,53785215
D630023F18Rik,1.5039760616952,1.29052906403836e-05,chr1,65107313,65123193
D2hgdh,1.5039760616952,1.29052906403836e-05,chr1,93825240,93852174
Efhd1,1.5039760616952,1.29052906403836e-05,chr1,87264364,87310791
Slamf9,1.5039760616952,1.29052906403836e-05,chr1,172475360,172478409
Smap1,1.95468930886551,1.29052906403836e-05,chr1,23845627,23922289
